,year,period,periodName,value
0,2026,M06,June,158984
1,2026,M05,May,158927
2,2026,M04,April,158798
3,2026,M03,March,158650
4,2026,M02,February,158436
5,2026,M01,January,158592
6,2025,M12,December,158432
7,2025,M11,November,158449
8,2025,M10,October,158408
9,2025,M09,September,158548
10,2025,M08,August,158472
11,2025,M07,July,158542
12,2025,M06,June,158478
13,2025,M05,May,158498
14,2025,M04,April,158485
15,2025,M03,March,158377
16,2025,M02,February,158310
17,2025,M01,January,158268
18,2024,M12,December,158316
19,2024,M11,November,158079
20,2024,M10,October,157945
21,2024,M09,September,157912
22,2024,M08,August,157757
23,2024,M07,July,157748
24,2024,M06,June,157695
25,2024,M05,May,157608
26,2024,M04,April,157530
27,2024,M03,March,157466
28,2024,M02,February,157238
29,2024,M01,January,157032
