,year,period,periodName,value
0,2026,M07,July,149.6
1,2026,M06,June,150.2
2,2026,M05,May,150.6
3,2026,M04,April,148.1
4,2026,M03,March,144.8
5,2026,M02,February,143.5
6,2026,M01,January,142.1
7,2025,M12,December,141.4
8,2025,M11,November,141.2
9,2025,M09,September,140.8
10,2025,M08,August,141.0
11,2025,M07,July,141.2
12,2025,M06,June,140.8
13,2025,M05,May,141.0
14,2025,M04,April,141.7
15,2025,M03,March,141.6
16,2025,M02,February,142.1
17,2025,M01,January,141.8
18,2024,M12,December,141.4
19,2024,M11,November,141.3
20,2024,M10,October,141.1
21,2024,M09,September,140.9
22,2024,M08,August,141.4
23,2024,M07,July,141.8
24,2024,M06,June,141.6
25,2024,M05,May,141.5
26,2024,M04,April,141.7
27,2024,M03,March,140.5
28,2024,M02,February,139.7
29,2024,M01,January,139.4
