,year,period,periodName,value
0,2026,M08,August,4.1
1,2026,M07,July,4.1
2,2026,M06,June,4.2
3,2026,M05,May,4.3
4,2026,M04,April,4.3
5,2026,M03,March,4.3
6,2026,M02,February,4.4
7,2026,M01,January,4.3
8,2025,M12,December,4.4
9,2025,M11,November,4.5
10,2025,M10,October,-
11,2025,M09,September,4.4
12,2025,M08,August,4.3
13,2025,M07,July,4.3
14,2025,M06,June,4.1
15,2025,M05,May,4.3
16,2025,M04,April,4.2
17,2025,M03,March,4.2
18,2025,M02,February,4.2
19,2025,M01,January,4.0
20,2024,M12,December,4.1
21,2024,M11,November,4.2
22,2024,M10,October,4.1
23,2024,M09,September,4.1
24,2024,M08,August,4.2
25,2024,M07,July,4.2
26,2024,M06,June,4.1
27,2024,M05,May,3.9
28,2024,M04,April,3.9
29,2024,M03,March,3.9
30,2024,M02,February,3.9
31,2024,M01,January,3.7
