,year,period,periodName,value
0,2026,M05,May,168.6
1,2026,M04,April,166.5
2,2026,M03,March,160.9
3,2026,M02,February,158.4
4,2026,M01,January,155.4
5,2025,M12,December,154.6
6,2025,M11,November,153.7
7,2025,M09,September,153.0
8,2025,M08,August,153.0
9,2025,M07,July,152.8
10,2025,M06,June,152.3
11,2025,M05,May,151.6
12,2025,M04,April,152.6
13,2025,M03,March,152.5
14,2025,M02,February,152.6
15,2025,M01,January,151.6
16,2024,M12,December,149.5
17,2024,M11,November,148.8
18,2024,M10,October,148.8
19,2024,M09,September,147.3
20,2024,M08,August,148.2
21,2024,M07,July,149.2
22,2024,M06,June,148.4
23,2024,M05,May,148.8
24,2024,M04,April,149.8
25,2024,M03,March,148.8
26,2024,M02,February,148.6
27,2024,M01,January,147.5
